faculty,application,lowest_score,highest_score
دیپارتمنت جغرافیه پوهنځی تعلیم و تربیه پوهنتون کندهار,43,151.2739,199.0211
دیپارتمنت زبان و ادبیات فارسی دری پوهنځی تعلیم و تربیه پوهنتون کندهار,43,151.1638,197.3699
انستیتیوت اداره و حسابداری ولایت کندهار,43,156.3371,196.17
انستیتیوت کثیرالرشتوی مرکز ولایت کندهار,43,144.4806,189.5549
انستیتیوت تخنیکی و مسلکی ولایت کندهار,43,151.8348,187.7571
دیپارتمنت زبان و ادبیات پشتو پوهنځی تعلیم و تربیه پوهنتون کندهار,43,156.944,184.6771
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون کندهار (مدارس),43,153.0789,177.3993
انستیتیوت زراعت و وترنری ولسوالی دامان ولایت کندهار,43,145.1746,176.9483
دیپارتمنت تاریخ پوهنځی تعلیم و تربیه پوهنتون کندهار,43,150.7993,174.229
دیپارتمنت تربیت بدنی پوهنځی تعلیم و تربیه پوهنتون کندهار,43,150.1387,173.6773
انستیتیوت زراعت و وترنری ولسوالی میوند ولایت کندهار,43,143.4235,159.7947
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات پوهنتون کندهار (مدارس),43,156.9093,156.9093
دیپارتمنت علوم سیاسی و روابط بین الملل پوهنځی حقوق و علوم سیاسی پوهنتون کندهار (مدارس),43,150.2933,154.158
دیپارتمنت منجمنت و ادارۀ تشبثات (BBA) پوهنځی اقتصاد پوهنتون پروان,43,251.8082,306.7895
دیپارتمنت سیستم های معلوماتی پوهنځی کمپیوتر ساینس پوهنتون پروان,43,260.0246,306.7668
دیپارتمنت تکنالوژی معلوماتی پوهنځی کمپیوتر ساینس پوهنتون پروان,43,275.4671,306.3374
دیپارتمنت شهرسازی پوهنځی انجنیری پوهنتون پروان,43,227.4916,285.0462
دیپارتمنت حفاظت محیط زیست و آب پوهنځی انجنیری پوهنتون پروان,43,202.5234,277.4276
